year,rider_id,name,team,class,cost,selected_pct,total_points,overall_rank
2024,20240479,Jan Tratnik,Team Visma | Lease a Bike,Unclassed,6,1.0,189,74
2024,20240060,Alexey Lutsenko,Astana Qazaqstan Team,All Rounder,6,1.6,188,75
2024,20240467,Tiesj Benoot,Team Visma | Lease a Bike,Unclassed,6,5.4,186,76
2024,20240290,Gerben Thijssen,Intermarché - Wanty,Sprinter,8,0.1,183,77
2024,20240355,Nelson Oliveira,Movistar Team,Unclassed,6,0.4,182,78
2024,20240437,Michael Matthews,Team Jayco AlUla,Sprinter,8,1.4,174,79
2024,20240464,Christophe Laporte,Team Visma | Lease a Bike,Unclassed,8,4.7,174,79
2024,20240825,Jordan Jegat,TotalEnergies,Unclassed,6,0.1,172,81
2024,20240338,Julien Bernard,Lidl - Trek,Unclassed,4,7.9,168,82
2024,20240237,Romain Grégoire,Groupama - FDJ,Unclassed,8,2.7,167,83
2024,20240409,John Degenkolb,Team dsm-firmenich PostNL,Unclassed,6,0.9,166,84
2024,20240009,Axel Laurance,Alpecin-Deceuninck,Unclassed,6,0.9,163,85
2024,20240117,Aleksandr Vlasov,BORA - hansgrohe,Climber,8,9.1,160,86
2024,20240089,Pello Bilbao,Bahrain - Victorious,All Rounder,8,18.6,157,87
2024,20240184,Bruno Armirail,Decathlon AG2R La Mondiale Team,Unclassed,6,2.5,155,88
2024,20240100,Nikias Arndt,Bahrain - Victorious,Unclassed,6,0.9,154,89
2024,20240870,Søren Wærenskjold,Uno-X Mobility,Unclassed,6,1.5,148,90
2024,20240397,Jan Hirt,Soudal - Quick Step,Climber,6,1.3,138,91
2024,20240380,Yves Lampaert,Soudal - Quick Step,Unclassed,6,1.1,138,91
2024,20240395,Gianni Moscon,Soudal - Quick Step,Unclassed,4,8.3,138,91
2024,20240146,Axel Zingle,Cofidis,Unclassed,6,1.3,128,94
2024,20240214,Stefan Bissegger,EF Education-EasyPost,Unclassed,6,2.1,128,94
2024,20240664,Hugo Houle,Israel - Premier Tech,Unclassed,6,0.4,113,96
2024,20240235,David Gaudu,Groupama - FDJ,Climber,8,4.4,109,97
2024,20240661,Krists Neilands,Israel - Premier Tech,Unclassed,6,0.3,103,98
2024,20240133,Bob Jungels,BORA - hansgrohe,Unclassed,6,1.6,96,99
2024,20240387,Louis Vervaeke,Soudal - Quick Step,Unclassed,6,0.1,89,100
2024,20240264,Geraint Thomas,INEOS Grenadiers,All Rounder,10,8.2,88,101
2024,20240068,Davide Ballerini,Astana Qazaqstan Team,Unclassed,6,1.0,88,101
2024,20240093,Wout Poels,Bahrain - Victorious,Climber,6,7.2,88,101
2024,20240046,Raúl García Pierna,Arkéa - B&B Hotels,Unclassed,6,0.2,87,104
2024,20240099,Fred Wright,Bahrain - Victorious,Unclassed,6,3.9,80,105
2024,20240211,Alberto Bettiol,EF Education-EasyPost,Unclassed,8,10.3,79,106
2024,20240655,Stephen Williams,Israel - Premier Tech,Unclassed,6,8.7,79,106
2024,20240819,Sandy Dujardin,TotalEnergies,Unclassed,6,0.3,76,108
2024,20240206,Rui Costa,EF Education-EasyPost,Unclassed,6,3.8,73,109
2024,20240239,Lenny Martinez,Groupama - FDJ,Climber,8,7.3,72,110
2024,20240296,Kobe Goossens,Intermarché - Wanty,Unclassed,6,0.2,72,110
2024,20240008,Gianni Vermeersch,Alpecin-Deceuninck,Unclassed,6,0.3,68,112
2024,20240444,Luka Mezgec,Team Jayco AlUla,Unclassed,6,0.2,68,112
2024,20240004,Søren Kragh Andersen,Alpecin-Deceuninck,Unclassed,6,0.9,66,114
2024,20240013,Jonas Rickaert,Alpecin-Deceuninck,Unclassed,4,3.7,66,114
2024,20240120,Danny Van Poppel,BORA - hansgrohe,Sprinter,6,0.9,62,116
2024,20240236,Stefan Küng,Groupama - FDJ,Unclassed,6,3.5,62,116
2024,20240423,Bram Welten,Team dsm-firmenich PostNL,Unclassed,4,1.3,62,116
2024,20240156,Piet Allegaert,Cofidis,Unclassed,6,0.6,60,119
2024,20240665,Jakob Fuglsang,Israel - Premier Tech,Unclassed,6,1.9,59,120
2024,20240270,Jonathan Castroviejo,INEOS Grenadiers,Unclassed,6,1.8,58,121
2024,20240277,Ben Turner,INEOS Grenadiers,Unclassed,6,0.5,58,121
