year,rider_id,name,team,class,cost,selected_pct,total_points,overall_rank
2023,20230985,Tadej Pogačar,UAE Team Emirates,All Rounder,24,68.7,2979,1
2023,20230603,Jonas Vingegaard,Jumbo-Visma,All Rounder,26,43.1,2946,2
2023,20230059,Jasper Philipsen,Alpecin-Deceuninck,Sprinter,14,25.3,1935,3
2023,20230993,Adam Yates,UAE Team Emirates,All Rounder,12,12.8,1868,4
2023,20230870,Simon Yates,Team Jayco AlUla,Climber,10,13.3,1704,5
2023,20230198,Jai Hindley,BORA - hansgrohe,Climber,16,18.1,1483,6
2023,20230596,Wout Van Aert,Jumbo-Visma,Sprinter,18,36.3,1443,7
2023,20230123,Pello Bilbao,Bahrain - Victorious,All Rounder,8,9.0,1434,8
2023,20230019,Felix Gall,AG2R Citroën Team,Climber,8,10.2,1390,9
2023,20230505,Carlos Rodríguez,INEOS Grenadiers,Climber,10,6.0,1375,10
2023,20230933,Mads Pedersen,Lidl - Trek,Sprinter,14,8.6,1349,11
2023,20230501,Thomas Pidcock,INEOS Grenadiers,Unclassed,10,38.9,940,12
2023,20230587,Sepp Kuss,Jumbo-Visma,Climber,8,13.5,938,13
2023,20230266,Bryan Coquard,Cofidis,Sprinter,6,1.7,938,13
2023,20230456,Thibaut Pinot,Groupama - FDJ,Climber,10,13.9,898,15
2023,20230441,David Gaudu,Groupama - FDJ,Climber,14,10.7,866,16
2023,20230851,Dylan Groenewegen,Team Jayco AlUla,Sprinter,10,4.4,777,17
2023,20230920,Giulio Ciccone,Lidl - Trek,Climber,10,16.8,697,18
2023,20230206,Jordi Meeus,BORA - hansgrohe,Sprinter,8,1.5,692,19
2023,20230122,Phil Bauhaus,Bahrain - Victorious,Sprinter,8,1.1,669,20
2023,20231009,Tobias Halland Johannessen,Uno-X Pro Cycling Team,All Rounder,6,3.0,658,21
2023,20230278,Guillaume Martin,Cofidis,Climber,8,5.4,632,22
2023,20230572,Michael Woods,Israel - Premier Tech,Climber,8,6.5,631,23
2023,20230137,Matej Mohorič,Bahrain - Victorious,Unclassed,6,9.4,601,24
2023,20230935,Mattias Skjelmose,Lidl - Trek,All Rounder,14,14.1,594,25
2023,20230576,Tiesj Benoot,Jumbo-Visma,Unclassed,6,4.4,593,26
2023,20230584,Wilco Kelderman,Jumbo-Visma,All Rounder,8,1.9,585,27
2023,20230320,Neilson Powless,EF Education-EasyPost,All Rounder,8,8.4,569,28
2023,20230497,Michał Kwiatkowski,INEOS Grenadiers,Unclassed,6,1.4,547,29
2023,20230979,Rafał Majka,UAE Team Emirates,Climber,8,2.6,543,30
2023,20230703,Kasper Asgreen,Soudal - Quick Step,Unclassed,6,5.5,531,31
2023,20230131,Mikel Landa,Bahrain - Victorious,Climber,10,7.3,527,32
2023,20230588,Christophe Laporte,Jumbo-Visma,Unclassed,8,12.6,510,33
2023,20230026,Ben O'Connor,AG2R Citroën Team,All Rounder,14,13.0,506,34
2023,20230893,Mathieu Burgaudeau,TotalEnergies,Unclassed,6,0.5,473,35
2023,20230275,Victor Lafay,Cofidis,Unclassed,6,0.7,465,36
2023,20230762,Luca Mozzato,Team Arkéa Samsic,Sprinter,6,0.1,455,37
2023,20230988,Matteo Trentin,UAE Team Emirates,Sprinter,8,0.5,438,38
