year,rider_id,name,team,class,cost,selected_pct,total_points,overall_rank
2023,20231139,Mark Cavendish,Astana Qazaqstan Team,Sprinter,8,16.0,437,39
2023,20230192,Emanuel Buchmann,BORA - hansgrohe,Climber,6,6.1,427,40
2023,20230140,Wout Poels,Bahrain - Victorious,Climber,6,5.3,421,41
2023,20230523,Biniam Girmay,Intermarché - Circus - Wanty,Sprinter,12,11.4,406,42
2023,20230621,Caleb Ewan,Lotto Dstny,Sprinter,10,3.5,391,43
2023,20230636,Maxim Van Gils,Lotto Dstny,Climber,6,8.8,371,44
2023,20231010,Alexander Kristoff,Uno-X Pro Cycling Team,Sprinter,6,2.7,364,45
2023,20230650,Matteo Jorgenson,Movistar Team,All Rounder,8,4.8,363,46
2023,20230742,Warren Barguil,Team Arkéa Samsic,Climber,6,6.9,363,46
2023,20230489,Jonathan Castroviejo,INEOS Grenadiers,Unclassed,6,1.8,357,48
2023,20230545,Georg Zimmermann,Intermarché - Circus - Wanty,Unclassed,6,2.3,351,49
2023,20230602,Nathan Van Hooydonck,Jumbo-Visma,Unclassed,6,0.7,334,50
2023,20231166,Cees Bol,Astana Qazaqstan Team,Sprinter,6,0.4,324,51
2023,20230567,Corbin Strong,Israel - Premier Tech,Sprinter,6,1.0,320,52
2023,20230646,Ruben Guerreiro,Movistar Team,Climber,6,4.2,319,53
2023,20230597,Dylan Van Baarle,Jumbo-Visma,Unclassed,6,2.3,318,54
2023,20230793,Romain Bardet,Team DSM - Firmenich,Climber,12,9.0,317,55
2023,20230853,Chris Harper,Team Jayco AlUla,Unclassed,6,0.2,313,56
2023,20230994,Jonas Abrahamsen,Uno-X Pro Cycling Team,Unclassed,4,2.0,300,57
2023,20230620,Pascal Eenkhoorn,Lotto Dstny,Unclassed,6,0.5,295,58
2023,20230568,Dylan Teuns,Israel - Premier Tech,Climber,8,1.7,294,59
2023,20230324,James Shaw,EF Education-EasyPost,Unclassed,6,0.4,281,60
2023,20230903,Pierre Latour,TotalEnergies,Climber,8,1.1,280,61
2023,20230615,Victor Campenaerts,Lotto Dstny,Unclassed,6,2.5,276,62
2023,20230975,Felix Großschartner,UAE Team Emirates,Unclassed,6,1.0,270,63
2023,20230273,Ion Izagirre,Cofidis,All Rounder,6,1.1,260,64
2023,20230907,Peter Sagan,TotalEnergies,Sprinter,8,1.9,251,65
2023,20230013,Clément Berthet,AG2R Citroën Team,Unclassed,6,0.6,250,66
2023,20230128,Jack Haig,Bahrain - Victorious,Climber,8,4.6,249,67
2023,20230639,Alex Aranburu,Movistar Team,Sprinter,6,1.1,224,68
2023,20230499,Daniel Felipe Martínez,INEOS Grenadiers,All Rounder,10,3.0,222,69
2023,20230702,Julian Alaphilippe,Soudal - Quick Step,Climber,10,24.9,222,69
2023,20230969,Mikkel Bjerg,UAE Team Emirates,Unclassed,6,1.9,219,71
2023,20230095,Alexey Lutsenko,Astana Qazaqstan Team,All Rounder,8,1.6,218,72
2023,20230987,Marc Soler,UAE Team Emirates,All Rounder,8,1.0,218,72
2023,20230978,Vegard Stake Laengen,UAE Team Emirates,Unclassed,4,4.2,218,72
2023,20230146,Fred Wright,Bahrain - Victorious,Unclassed,8,21.4,206,75
2023,20230859,Luka Mezgec,Team Jayco AlUla,Sprinter,6,0.2,199,76
2023,20230561,Krists Neilands,Israel - Premier Tech,Unclassed,4,1.0,197,77
2023,20230713,Fabio Jakobsen,Soudal - Quick Step,Sprinter,12,12.8,189,78
2023,20230760,Matis Louvel,Team Arkéa Samsic,Unclassed,6,0.1,180,79
2023,20231002,Jonas Gregaard,Uno-X Pro Cycling Team,Unclassed,6,0.4,175,80
2023,20230845,Lawson Craddock,Team Jayco AlUla,Unclassed,4,5.4,175,80
2023,20230821,Sam Welsford,Team DSM - Firmenich,Sprinter,8,2.1,170,82
2023,20230707,Rémi Cavagna,Soudal - Quick Step,Unclassed,6,2.0,166,83
2023,20230069,Mathieu Van Der Poel,Alpecin-Deceuninck,Unclassed,10,44.4,165,84
2023,20230213,Danny Van Poppel,BORA - hansgrohe,Sprinter,6,0.7,158,85
2023,20230450,Valentin Madouas,Groupama - FDJ,Unclassed,8,5.1,154,86
2023,20230756,Simon Guglielmi,Team Arkéa Samsic,Unclassed,4,0.4,154,86
2023,20230616,Jasper De Buyst,Lotto Dstny,Unclassed,6,0.3,149,88
2023,20230309,Esteban Chaves,EF Education-EasyPost,Climber,6,6.7,147,89
2023,20231021,Søren Wærenskjold,Uno-X Pro Cycling Team,Sprinter,6,0.6,137,90
2023,20230121,Nikias Arndt,Bahrain - Victorious,Unclassed,6,1.4,132,91
2023,20230488,Egan Bernal,INEOS Grenadiers,All Rounder,10,10.1,126,92
2023,20230802,Nils Eekhoff,Team DSM - Firmenich,Unclassed,4,1.3,122,93
2023,20230491,Omar Fraile,INEOS Grenadiers,Unclassed,6,0.7,117,94
2023,20230107,Harold Tejada,Astana Qazaqstan Team,Unclassed,6,0.5,114,95
2023,20230648,Gorka Izagirre,Movistar Team,Unclassed,6,0.6,114,95
2023,20230658,Antonio Pedrero,Movistar Team,Climber,6,0.7,112,97
2023,20230301,Alberto Bettiol,EF Education-EasyPost,Unclassed,6,3.8,111,98
2023,20230558,Hugo Houle,Israel - Premier Tech,Unclassed,6,0.9,111,98
2023,20230937,Jasper Stuyven,Lidl - Trek,Unclassed,6,0.9,111,98
2023,20230529,Louis Meintjes,Intermarché - Circus - Wanty,Climber,8,4.3,109,101
2023,20230540,Mike Teunissen,Intermarché - Circus - Wanty,Unclassed,6,0.3,108,102
2023,20230895,Steff Cras,TotalEnergies,Unclassed,6,0.2,107,103
2023,20230087,David De La Cruz,Astana Qazaqstan Team,Unclassed,6,0.8,90,104
2023,20231018,Rasmus Tiller,Uno-X Pro Cycling Team,Unclassed,6,0.4,84,105
2023,20230209,Nils Politt,BORA - hansgrohe,Unclassed,6,1.3,75,106
2023,20230196,Marco Haller,BORA - hansgrohe,Unclassed,4,2.1,75,106
2023,20230300,Andrey Amador,EF Education-EasyPost,Unclassed,4,4.5,68,108
2023,20230199,Bob Jungels,BORA - hansgrohe,Unclassed,6,3.1,65,109
2023,20230052,Søren Kragh Andersen,Alpecin-Deceuninck,Unclassed,6,2.0,60,110
2023,20230025,Oliver Naesen,AG2R Citroën Team,Unclassed,4,2.0,59,111
2023,20230514,Ben Turner,INEOS Grenadiers,Unclassed,6,0.8,54,112
2023,20230911,Anthony Turgis,TotalEnergies,Sprinter,6,0.1,54,112
2023,20230202,Patrick Konrad,BORA - hansgrohe,Climber,6,1.6,53,114
2023,20230715,Yves Lampaert,Soudal - Quick Step,Unclassed,6,1.1,52,115
2023,20230890,Edvald Boasson Hagen,TotalEnergies,Unclassed,6,1.7,50,116
2023,20230453,Quentin Pacher,Groupama - FDJ,Unclassed,6,0.1,49,117
2023,20230045,Silvan Dillier,Alpecin-Deceuninck,Unclassed,4,1.2,48,118
2023,20230856,Christopher Juul-Jensen,Team Jayco AlUla,Unclassed,4,0.8,47,119
2023,20230519,Lilian Calmejane,Intermarché - Circus - Wanty,Unclassed,4,7.0,46,120
2023,20230709,Tim Declercq,Soudal - Quick Step,Unclassed,4,3.5,44,121
2023,20230566,Nick Schultz,Israel - Premier Tech,Unclassed,6,0.3,42,122
2023,20230899,Valentin Ferron,TotalEnergies,Unclassed,6,0.1,42,122
2023,20230764,Laurent Pichon,Team Arkéa Samsic,Unclassed,4,0.6,42,122
2023,20230905,Daniel Oss,TotalEnergies,Unclassed,4,2.1,42,122
2023,20230050,Quinten Hermans,Alpecin-Deceuninck,Unclassed,6,0.4,40,126
2023,20230048,Michael Gogl,Alpecin-Deceuninck,Unclassed,4,1.5,40,126
2023,20230062,Jonas Rickaert,Alpecin-Deceuninck,Unclassed,4,1.2,40,126
2023,20230462,Lars Van Den Berg,Groupama - FDJ,Unclassed,4,1.8,40,126
2023,20230751,Anthony Delaplace,Team Arkéa Samsic,Unclassed,4,0.5,40,126
2023,20230017,Benoît Cosnefroy,AG2R Citroën Team,Unclassed,6,2.7,38,131
2023,20230718,Michael Mørkøv,Soudal - Quick Step,Unclassed,4,7.5,37,132
2023,20230998,Anthon Charmig,Uno-X Pro Cycling Team,Unclassed,6,0.3,36,133
2023,20230065,Ramon Sinkeldam,Alpecin-Deceuninck,Unclassed,4,0.6,36,133
2023,20230446,Stefan Küng,Groupama - FDJ,Unclassed,6,4.0,34,135
2023,20230326,Rigoberto Urán,EF Education-EasyPost,All Rounder,6,3.4,31,136
2023,20230547,Guillaume Boivin,Israel - Premier Tech,Unclassed,4,1.3,28,137
2023,20230927,Alex Kirsch,Lidl - Trek,Unclassed,4,3.3,28,137
2023,20230657,Nelson Oliveira,Movistar Team,Unclassed,4,3.2,28,137
2023,20230534,Adrien Petit,Intermarché - Circus - Wanty,Unclassed,4,0.8,26,140
2023,20230442,Kevin Geniets,Groupama - FDJ,Unclassed,6,0.1,25,141
2023,20230848,Luke Durbridge,Team Jayco AlUla,Unclassed,4,2.3,24,142
2023,20230865,Elmar Reinders,Team Jayco AlUla,Unclassed,4,0.3,24,142
2023,20230280,Anthony Perez,Cofidis,Unclassed,4,3.9,23,144
2023,20230310,Magnus Cort,EF Education-EasyPost,Unclassed,8,18.2,20,145
2023,20230289,Axel Zingle,Cofidis,Unclassed,6,1.9,19,146
2023,20230027,Aurélien Paret-Peintre,AG2R Citroën Team,Climber,6,4.3,18,147
2023,20230018,Stan Dewulf,AG2R Citroën Team,Unclassed,4,1.2,18,147
2023,20230029,Nans Peters,AG2R Citroën Team,Unclassed,4,7.5,18,147
2023,20230270,Simon Geschke,Cofidis,Unclassed,6,3.0,16,150
2023,20230929,Juan Pedro López,Lidl - Trek,Unclassed,6,0.8,16,150
2023,20230934,Quinn Simmons,Lidl - Trek,Unclassed,6,5.6,16,150
2023,20230282,Alexis Renard,Cofidis,Unclassed,4,1.0,16,150
2023,20230922,Tony Gallopin,Lidl - Trek,Unclassed,4,6.3,16,150
2023,20230622,Frederik Frison,Lotto Dstny,Unclassed,4,1.0,14,155
2023,20230638,Florian Vermeersch,Lotto Dstny,Unclassed,4,6.2,14,155
2023,20230089,Yevgeniy Fedorov,Astana Qazaqstan Team,Unclassed,4,0.9,12,157
2023,20230448,Olivier Le Gac,Groupama - FDJ,Unclassed,4,0.9,12,157
2023,20230710,Dries Devenyns,Soudal - Quick Step,Unclassed,4,0.8,12,157
2023,20230520,Rui Costa,Intermarché - Circus - Wanty,Unclassed,6,3.6,10,160
2023,20230655,Gregor Mühlberger,Movistar Team,Unclassed,4,2.6,10,160
2023,20230548,Simon Clarke,Israel - Premier Tech,Unclassed,6,2.6,8,162
2023,20231019,Torstein Træen,Uno-X Pro Cycling Team,Unclassed,6,5.7,7,163
2023,20230538,Dion Smith,Intermarché - Circus - Wanty,Unclassed,6,0.1,6,164
2023,20230624,Jacopo Guarnieri,Lotto Dstny,Unclassed,4,0.3,6,164
2023,20230820,Kevin Vermaerke,Team DSM - Firmenich,Climber,6,1.1,5,166
2023,20230097,Gianni Moscon,Astana Qazaqstan Team,Unclassed,6,0.3,4,167
2023,20230744,Jenthe Biermans,Team Arkéa Samsic,Unclassed,4,0.9,1,168
2023,20230653,Enric Mas,Movistar Team,All Rounder,14,7.4,0,169
2023,20230305,Richard Carapaz,EF Education-EasyPost,All Rounder,12,12.2,0,169
2023,20230104,Luis León Sánchez,Astana Qazaqstan Team,Unclassed,6,0.4,0,169
2023,20230748,Clément Champoussin,Team Arkéa Samsic,Unclassed,6,1.7,0,169
2023,20230799,John Degenkolb,Team DSM - Firmenich,Sprinter,6,0.6,0,169
2023,20230804,Chris Hamilton,Team DSM - Firmenich,Unclassed,6,0.4,0,169
2023,20230800,Matthew Dinham,Team DSM - Firmenich,Unclassed,4,0.8,0,169
2023,20230801,Alex Edmondson,Team DSM - Firmenich,Unclassed,4,0.5,0,169
