year,rider_id,name,round,round_label,stg,gc,pc,kom,spr,sum,bky,ass,tot
2023,20230993,Adam Yates,2,Stage 2,8,30,2,0,0,0,0,6,46
2023,20230993,Adam Yates,3,Stage 3,0,30,0,0,0,0,0,4,34
2023,20230993,Adam Yates,4,Stage 4,0,30,0,0,0,0,0,4,34
2023,20230993,Adam Yates,5,Stage 5,25,16,0,0,0,0,0,0,41
2023,20230993,Adam Yates,6,Stage 6,70,15,0,0,0,0,0,12,97
2023,20230993,Adam Yates,7,Stage 7,0,15,0,0,0,0,0,4,19
2023,20230993,Adam Yates,8,Stage 8,0,16,0,0,0,0,0,4,20
2023,20230993,Adam Yates,9,Stage 9,12,16,0,0,0,0,0,4,32
2023,20230993,Adam Yates,10,Stage 10,0,15,0,0,0,0,0,4,19
2023,20230993,Adam Yates,11,Stage 11,0,15,0,0,0,0,0,4,19
2023,20230993,Adam Yates,12,Stage 12,12,15,0,0,0,0,0,4,31
2023,20230993,Adam Yates,13,Stage 13,60,16,0,0,0,0,0,6,82
2023,20230993,Adam Yates,14,Stage 14,140,16,0,0,0,15,0,10,181
2023,20230993,Adam Yates,15,Stage 15,12,18,0,0,0,0,0,6,36
2023,20230993,Adam Yates,16,Stage 16,95,22,0,0,0,0,0,0,117
2023,20230993,Adam Yates,17,Stage 17,70,22,0,0,0,0,0,8,100
2023,20230993,Adam Yates,18,Stage 18,0,22,0,0,0,0,0,8,30
2023,20230993,Adam Yates,19,Stage 19,0,22,0,0,0,0,0,8,30
2023,20230993,Adam Yates,20,Stage 20,120,22,0,0,0,2,0,16,160
2023,20230993,Adam Yates,21,Stage 21,0,22,0,0,0,0,0,8,30
2023,20230993,Adam Yates,22,Final Classifications,0,400,0,0,0,0,0,40,440
2023,20230870,Simon Yates,1,Stage 1,180,26,8,0,0,0,0,0,214
2023,20230870,Simon Yates,2,Stage 2,12,22,1,0,0,0,0,0,35
2023,20230870,Simon Yates,3,Stage 3,0,22,0,0,0,0,0,0,22
2023,20230870,Simon Yates,4,Stage 4,0,22,0,0,0,0,0,0,22
2023,20230870,Simon Yates,5,Stage 5,35,14,0,0,0,0,0,0,49
2023,20230870,Simon Yates,6,Stage 6,80,18,0,0,0,0,0,0,98
2023,20230870,Simon Yates,7,Stage 7,0,18,0,0,0,0,0,0,18
2023,20230870,Simon Yates,8,Stage 8,0,15,0,0,0,0,0,0,15
2023,20230870,Simon Yates,9,Stage 9,25,15,0,0,0,0,0,0,40
2023,20230870,Simon Yates,10,Stage 10,0,14,0,0,0,0,0,0,14
2023,20230870,Simon Yates,11,Stage 11,0,14,0,0,0,0,0,4,18
2023,20230870,Simon Yates,12,Stage 12,0,14,0,0,0,0,0,0,14
2023,20230870,Simon Yates,13,Stage 13,70,15,0,0,0,0,0,0,85
2023,20230870,Simon Yates,14,Stage 14,70,14,0,0,0,2,0,0,86
2023,20230870,Simon Yates,15,Stage 15,0,13,0,0,0,0,0,0,13
2023,20230870,Simon Yates,16,Stage 16,120,13,0,0,0,0,0,0,133
2023,20230870,Simon Yates,17,Stage 17,180,16,0,0,0,29,0,0,225
2023,20230870,Simon Yates,18,Stage 18,0,16,0,1,0,0,0,0,17
2023,20230870,Simon Yates,19,Stage 19,0,16,0,1,0,0,0,0,17
2023,20230870,Simon Yates,20,Stage 20,140,18,0,1,0,4,0,0,163
2023,20230870,Simon Yates,21,Stage 21,0,18,0,1,0,0,0,2,21
2023,20230870,Simon Yates,22,Final Classifications,0,350,5,30,0,0,0,0,385
2023,20230198,Jai Hindley,1,Stage 1,95,14,0,0,0,0,0,0,109
2023,20230198,Jai Hindley,2,Stage 2,70,13,0,0,0,0,0,0,83
2023,20230198,Jai Hindley,3,Stage 3,0,13,0,0,0,0,0,0,13
2023,20230198,Jai Hindley,4,Stage 4,0,14,0,0,0,0,0,0,14
2023,20230198,Jai Hindley,5,Stage 5,220,30,0,6,0,25,0,0,281
2023,20230198,Jai Hindley,6,Stage 6,110,22,0,1,0,0,0,0,133
2023,20230198,Jai Hindley,7,Stage 7,0,22,0,1,0,0,0,0,23
2023,20230198,Jai Hindley,8,Stage 8,0,22,0,1,0,0,0,0,23
2023,20230198,Jai Hindley,9,Stage 9,8,22,0,0,0,0,0,0,30
2023,20230198,Jai Hindley,10,Stage 10,0,22,0,0,0,0,0,0,22
2023,20230198,Jai Hindley,11,Stage 11,0,22,0,0,0,0,0,0,22
2023,20230198,Jai Hindley,12,Stage 12,0,22,0,0,0,0,0,0,22
2023,20230198,Jai Hindley,13,Stage 13,110,22,0,0,0,6,0,0,138
2023,20230198,Jai Hindley,14,Stage 14,110,18,0,1,0,6,0,0,135
2023,20230198,Jai Hindley,15,Stage 15,0,16,0,0,0,0,0,0,16
2023,20230198,Jai Hindley,16,Stage 16,0,16,0,0,0,0,0,0,16
2023,20230198,Jai Hindley,17,Stage 17,40,14,0,0,0,0,0,0,54
2023,20230198,Jai Hindley,18,Stage 18,0,14,0,0,0,0,0,0,14
2023,20230198,Jai Hindley,19,Stage 19,0,14,0,0,0,0,0,0,14
2023,20230198,Jai Hindley,20,Stage 20,50,14,0,0,0,0,0,0,64
2023,20230198,Jai Hindley,21,Stage 21,0,14,0,0,0,0,0,8,22
2023,20230198,Jai Hindley,22,Final Classifications,0,220,0,15,0,0,0,0,235
2023,20230596,Wout Van Aert,1,Stage 1,50,10,0,0,0,0,0,8,68
2023,20230596,Wout Van Aert,2,Stage 2,180,16,6,0,0,0,0,8,210
2023,20230596,Wout Van Aert,3,Stage 3,120,16,6,0,0,0,0,8,150
2023,20230596,Wout Van Aert,4,Stage 4,70,16,1,0,0,0,0,8,95
