year,rider_id,name,round,round_label,stg,gc,pc,kom,spr,sum,bky,ass,tot
2024,20240488,Tadej Pogačar,1,Stage 1,140,18,2,0,0,0,0,0,160
2024,20240488,Tadej Pogačar,2,Stage 2,30,30,0,0,0,0,0,4,64
2024,20240488,Tadej Pogačar,3,Stage 3,0,26,0,0,0,0,0,4,30
2024,20240488,Tadej Pogačar,4,Stage 4,220,30,1,8,0,30,0,10,299
2024,20240488,Tadej Pogačar,5,Stage 5,0,30,0,8,0,0,0,8,46
2024,20240488,Tadej Pogačar,6,Stage 6,0,30,0,8,0,0,0,8,46
2024,20240488,Tadej Pogačar,7,Stage 7,180,30,0,8,0,0,0,0,218
2024,20240488,Tadej Pogačar,8,Stage 8,35,30,0,8,0,0,0,8,81
2024,20240488,Tadej Pogačar,9,Stage 9,0,30,0,8,0,0,0,8,46
2024,20240488,Tadej Pogačar,10,Stage 10,0,30,0,8,0,0,0,8,46
2024,20240488,Tadej Pogačar,11,Stage 11,180,30,0,12,0,15,0,8,245
2024,20240488,Tadej Pogačar,12,Stage 12,0,30,0,12,0,0,0,8,50
2024,20240488,Tadej Pogačar,13,Stage 13,70,30,0,12,0,0,0,8,120
2024,20240488,Tadej Pogačar,14,Stage 14,220,30,0,12,0,30,0,8,300
2024,20240488,Tadej Pogačar,15,Stage 15,220,30,1,12,0,30,0,8,301
2024,20240488,Tadej Pogačar,16,Stage 16,0,30,1,12,0,0,0,8,51
2024,20240488,Tadej Pogačar,17,Stage 17,0,30,1,12,0,0,0,8,51
2024,20240488,Tadej Pogačar,18,Stage 18,0,30,0,12,0,0,0,8,50
2024,20240488,Tadej Pogačar,19,Stage 19,220,30,1,8,0,15,0,8,282
2024,20240488,Tadej Pogačar,20,Stage 20,220,30,2,8,0,15,0,8,283
2024,20240488,Tadej Pogačar,21,Stage 21,220,30,4,8,0,0,0,0,262
2024,20240488,Tadej Pogačar,22,Final Classifications,0,600,60,100,0,0,0,50,810
2024,20240461,Jonas Vingegaard,1,Stage 1,20,5,0,0,0,0,0,8,33
2024,20240461,Jonas Vingegaard,2,Stage 2,35,22,0,0,0,0,0,0,57
2024,20240461,Jonas Vingegaard,3,Stage 3,0,18,0,0,0,0,0,0,18
2024,20240461,Jonas Vingegaard,4,Stage 4,120,22,0,4,0,25,0,0,171
2024,20240461,Jonas Vingegaard,5,Stage 5,0,22,0,4,0,0,0,0,26
2024,20240461,Jonas Vingegaard,6,Stage 6,0,22,0,4,0,0,0,0,26
2024,20240461,Jonas Vingegaard,7,Stage 7,140,22,0,4,0,0,0,0,166
2024,20240461,Jonas Vingegaard,8,Stage 8,0,22,0,4,0,0,0,0,26
2024,20240461,Jonas Vingegaard,9,Stage 9,0,22,0,4,0,0,0,0,26
2024,20240461,Jonas Vingegaard,10,Stage 10,0,22,0,4,0,0,0,0,26
2024,20240461,Jonas Vingegaard,11,Stage 11,220,22,0,6,0,10,0,0,258
2024,20240461,Jonas Vingegaard,12,Stage 12,0,22,0,6,0,0,0,4,32
2024,20240461,Jonas Vingegaard,13,Stage 13,0,22,0,6,0,0,0,4,32
2024,20240461,Jonas Vingegaard,14,Stage 14,180,26,0,8,0,25,0,2,241
2024,20240461,Jonas Vingegaard,15,Stage 15,180,26,0,8,0,25,0,4,243
2024,20240461,Jonas Vingegaard,16,Stage 16,0,26,0,8,0,0,0,4,38
2024,20240461,Jonas Vingegaard,17,Stage 17,0,26,0,8,0,0,0,4,38
2024,20240461,Jonas Vingegaard,18,Stage 18,0,26,0,8,0,0,0,4,38
2024,20240461,Jonas Vingegaard,19,Stage 19,110,26,0,6,0,0,0,8,150
2024,20240461,Jonas Vingegaard,20,Stage 20,180,26,0,6,0,10,0,4,226
2024,20240461,Jonas Vingegaard,21,Stage 21,180,26,0,6,0,0,0,0,212
2024,20240461,Jonas Vingegaard,22,Final Classifications,0,500,5,80,0,0,0,40,620
2024,20240376,Remco Evenepoel,1,Stage 1,80,13,0,0,0,0,0,0,93
2024,20240376,Remco Evenepoel,2,Stage 2,40,26,0,0,0,0,0,0,66
2024,20240376,Remco Evenepoel,3,Stage 3,0,22,0,0,0,0,0,0,22
2024,20240376,Remco Evenepoel,4,Stage 4,180,26,0,2,0,20,0,2,230
2024,20240376,Remco Evenepoel,5,Stage 5,0,26,0,2,0,0,0,2,30
2024,20240376,Remco Evenepoel,6,Stage 6,0,26,0,2,0,0,0,2,30
2024,20240376,Remco Evenepoel,7,Stage 7,220,26,0,2,0,0,0,0,248
2024,20240376,Remco Evenepoel,8,Stage 8,60,26,0,2,0,0,0,4,92
2024,20240376,Remco Evenepoel,9,Stage 9,0,26,0,2,0,0,0,4,32
2024,20240376,Remco Evenepoel,10,Stage 10,0,26,0,2,0,0,0,4,32
2024,20240376,Remco Evenepoel,11,Stage 11,160,26,0,4,0,4,0,4,198
2024,20240376,Remco Evenepoel,12,Stage 12,0,26,0,4,0,0,0,4,34
2024,20240376,Remco Evenepoel,13,Stage 13,0,26,0,4,0,0,0,4,34
2024,20240376,Remco Evenepoel,14,Stage 14,160,22,0,4,0,20,0,4,210
2024,20240376,Remco Evenepoel,15,Stage 15,160,22,0,6,0,20,0,2,210
2024,20240376,Remco Evenepoel,16,Stage 16,0,22,0,6,0,0,0,2,30
2024,20240376,Remco Evenepoel,17,Stage 17,0,22,0,6,0,0,0,2,30
2024,20240376,Remco Evenepoel,18,Stage 18,0,22,0,6,0,0,0,0,28
2024,20240376,Remco Evenepoel,19,Stage 19,120,22,0,2,0,2,0,2,148
2024,20240376,Remco Evenepoel,20,Stage 20,140,22,0,2,0,4,0,0,168
2024,20240376,Remco Evenepoel,21,Stage 21,160,22,0,2,0,0,0,0,184
2024,20240376,Remco Evenepoel,22,Final Classifications,0,400,20,40,0,0,0,30,470
2024,20240491,João Almeida,1,Stage 1,0,0,0,0,0,0,0,0,0
2024,20240491,João Almeida,2,Stage 2,0,0,0,0,0,0,0,12,12
2024,20240491,João Almeida,3,Stage 3,0,0,0,0,0,0,0,8,8
2024,20240491,João Almeida,4,Stage 4,80,13,0,0,0,6,0,26,125
2024,20240491,João Almeida,5,Stage 5,0,13,0,0,0,0,0,16,29
2024,20240491,João Almeida,6,Stage 6,0,13,0,0,0,0,0,16,29
2024,20240491,João Almeida,7,Stage 7,80,15,0,0,0,0,0,0,95
2024,20240491,João Almeida,8,Stage 8,0,15,0,0,0,0,0,16,31
2024,20240491,João Almeida,9,Stage 9,0,15,0,0,0,0,0,16,31
2024,20240491,João Almeida,10,Stage 10,0,15,0,0,0,0,0,16,31
2024,20240491,João Almeida,11,Stage 11,110,16,0,0,0,0,0,20,146
2024,20240491,João Almeida,12,Stage 12,0,18,0,0,0,0,0,16,34
2024,20240491,João Almeida,13,Stage 13,0,18,0,0,0,0,0,16,34
2024,20240491,João Almeida,14,Stage 14,40,18,0,0,0,0,0,24,82
2024,20240491,João Almeida,15,Stage 15,120,18,0,0,0,10,0,24,172
2024,20240491,João Almeida,16,Stage 16,0,18,0,0,0,0,0,16,34
2024,20240491,João Almeida,17,Stage 17,0,18,0,0,0,0,0,16,34
2024,20240491,João Almeida,18,Stage 18,0,18,0,0,0,0,0,16,34
2024,20240491,João Almeida,19,Stage 19,95,18,0,0,0,0,0,24,137
2024,20240491,João Almeida,20,Stage 20,110,18,0,0,0,0,0,24,152
2024,20240491,João Almeida,21,Stage 21,120,18,0,0,0,0,0,0,138
2024,20240491,João Almeida,22,Final Classifications,0,350,0,0,0,0,0,50,400
2024,20240294,Biniam Girmay,1,Stage 1,0,0,0,0,0,0,0,0,0
