race,year,round,label,type,stage_points,round_points,share_all_rounder,share_climber,share_sprinter,share_unclassed
vuelta,2023,18,Stage 18,mountain,1475,2504,33.6,37.6,0.0,28.7
vuelta,2023,19,Stage 19,sprint,1475,2197,0.0,0.0,63.5,36.5
vuelta,2023,20,Stage 20,mixed,1475,2139,25.4,32.8,0.0,41.8
vuelta,2023,21,Stage 21,sprint,1475,2119,5.4,4.1,43.8,46.7
vuelta,2024,1,Stage 1,ITT,1475,1740,29.9,2.7,31.2,36.2
vuelta,2024,2,Stage 2,sprint,1475,2178,5.4,8.1,68.9,17.5
vuelta,2024,3,Stage 3,sprint,1475,2202,0.0,0.0,86.4,13.6
vuelta,2024,4,Stage 4,mountain,1475,2315,35.3,58.0,0.0,6.8
vuelta,2024,5,Stage 5,sprint,1475,2177,0.0,0.0,73.9,26.1
vuelta,2024,6,Stage 6,mixed,1475,2438,3.3,46.9,0.0,49.8
vuelta,2024,7,Stage 7,mixed,1475,2153,5.8,15.2,38.0,41.0
vuelta,2024,8,Stage 8,mountain,1475,2301,45.7,43.8,0.0,10.5
vuelta,2024,9,Stage 9,mountain,1475,2744,31.5,65.8,0.0,2.6
vuelta,2024,10,Stage 10,mixed,1475,2256,11.1,6.8,17.6,64.4
vuelta,2024,11,Stage 11,mixed,1475,2153,25.4,25.4,0.0,49.2
vuelta,2024,12,Stage 12,mixed,1475,2368,16.1,32.0,0.0,51.9
vuelta,2024,13,Stage 13,mixed,1475,2620,17.8,17.4,8.1,56.7
vuelta,2024,14,Stage 14,sprint,1475,2286,0.0,1.9,59.7,38.4
vuelta,2024,15,Stage 15,mountain,1475,2750,33.9,50.4,0.0,15.7
vuelta,2024,16,Stage 16,mountain,1475,2310,41.2,50.4,0.0,8.5
vuelta,2024,17,Stage 17,sprint,1475,2195,0.0,2.7,58.9,38.4
vuelta,2024,18,Stage 18,mixed,1475,2246,20.3,12.5,13.6,53.6
vuelta,2024,19,Stage 19,mountain,1475,2250,42.0,56.3,0.0,1.6
vuelta,2024,20,Stage 20,mountain,1475,2228,32.7,57.2,0.8,9.2
vuelta,2024,21,Stage 21,ITT,1475,1773,18.7,7.1,10.2,64.0
vuelta,2025,1,Stage 1,sprint,1475,2254,0.0,0.0,77.2,22.8
vuelta,2025,2,Stage 2,mountain,1475,2221,35.1,55.7,0.0,9.2
vuelta,2025,3,Stage 3,mixed,1475,2151,11.7,40.3,20.5,27.5
vuelta,2025,4,Stage 4,sprint,1475,2221,0.0,0.0,69.4,30.6
vuelta,2025,5,Stage 5,TTT,1445,2001,23.2,11.4,7.3,58.1
vuelta,2025,6,Stage 6,mixed,1475,2411,33.0,20.1,0.0,46.8
vuelta,2025,7,Stage 7,mixed,1475,2445,43.3,14.4,0.0,42.4
vuelta,2025,8,Stage 8,sprint,1475,2185,0.0,0.0,76.7,23.3
vuelta,2025,9,Stage 9,mountain,1475,2262,35.9,32.7,0.0,31.3
vuelta,2025,10,Stage 10,mountain,1475,2160,42.4,26.4,0.0,31.3
vuelta,2025,11,Stage 11,no_result,0,576,0.0,0.0,0.0,0.0
vuelta,2025,12,Stage 12,mixed,1475,2160,21.5,6.0,8.1,64.4
vuelta,2025,13,Stage 13,mountain,1475,2804,32.4,49.8,0.0,17.8
vuelta,2025,14,Stage 14,mountain,1475,2679,42.4,36.3,0.0,21.4
vuelta,2025,15,Stage 15,mixed,1475,2196,24.4,16.9,29.8,28.8
vuelta,2025,16,Stage 16,mixed,1475,2480,3.9,30.6,0.0,65.5
vuelta,2025,17,Stage 17,mountain,1475,2394,27.7,47.5,0.0,24.7
vuelta,2025,18,Stage 18,ITT,1475,1773,32.9,0.0,3.7,63.3
vuelta,2025,19,Stage 19,sprint,1475,2113,0.0,0.0,78.3,21.7
vuelta,2025,20,Stage 20,mountain,1475,2753,32.9,46.4,0.0,20.7
vuelta,2025,21,Stage 21,no_result,0,482,0.0,0.0,0.0,0.0
