race,year,slot,name,rider_class,pro_team,cost,points,pts_per_credit
vuelta,2024,6,Wout Van Aert,Sprinter,Team Visma | Lease a Bike,18,2026,112.6
vuelta,2024,7,Pablo Castrillo,Unclassed,Equipo Kern Pharma,6,989,164.8
vuelta,2024,8,Stefan Küng,Unclassed,Groupama - FDJ,6,972,162.0
vuelta,2024,9,Urko Berrade,Unclassed,Equipo Kern Pharma,4,616,154.0
vuelta,2025,1,Jonas Vingegaard,All Rounder,Team Visma | Lease a Bike,28,3387,121.0
vuelta,2025,2,João Almeida,All Rounder,UAE Team Emirates - XRG,20,2686,134.3
vuelta,2025,3,Jay Vine,All Rounder,UAE Team Emirates - XRG,8,1599,199.9
vuelta,2025,4,Jai Hindley,Climber,Red Bull - BORA - hansgrohe,10,1796,179.6
vuelta,2025,5,Sepp Kuss,Climber,Team Visma | Lease a Bike,8,1325,165.6
vuelta,2025,6,Jenthe Biermans,Sprinter,Arkéa - B&B Hotels,6,262,43.7
vuelta,2025,7,Thomas Pidcock,Unclassed,Q36.5 Pro Cycling Team,12,1858,154.8
vuelta,2025,8,Torstein Træen,Unclassed,Bahrain - Victorious,4,909,227.2
vuelta,2025,9,Louis Vervaeke,Unclassed,Soudal Quick-Step,4,542,135.5
